"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"NUMBER_OF_CELLS";"STATISTIC";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
"bfNestCel41";"Megachile giraudi Gerstacker, 1869";"239916";"Megachile giraudi";"Gerstacker, 1869";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;15;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
"bfNestCel42";"Megachile lagopoda (Linnaeus, 1761)";"239917";"Megachile lagopoda";"(Linnaeus, 1761)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;12;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel43";"Megachile lagopoda (Linnaeus, 1761)";"239917";"Megachile lagopoda";"(Linnaeus, 1761)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;12;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
"bfNestCel44";"Megachile leachella Curtis, 1828";"239919";"Megachile leachella";"Curtis, 1828";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;5;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel45";"Megachile leachella Curtis, 1828";"239919";"Megachile leachella";"Curtis, 1828";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;5;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
"bfNestCel46";"Megachile maritima (Kirby, 1802)";"53159";"Megachile maritima";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;8;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel47";"Megachile rotundata (Fabricius, 1787)";"239930";"Megachile rotundata";"(Fabricius, 1787)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;40;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel48";"Nomioides minutissimus (Rossi, 1790)";"240047";"Nomioides minutissimus";"(Rossi, 1790)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Nomioidinae";NA;"Nomioides";NA;NA;NA;20;"max";"Pesenko Yu. A., Banaszak J., Radchenko V. G., Cierzniak T. 2000. Bees of the family Halictidae (excluding Sphecodes) of Poland : taxonomy, ecology, bionomics. Wydawnictwo Uczelniane Wyzszej Szkoly Pedagogicznej w Bydgoszczy, Bydgoszcz. 348pp.";"Abeilles";444727
"bfNestCel49";"Osmia aurulenta (Panzer, 1799)";"53172";"Osmia aurulenta";"(Panzer, 1799)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Osmia";NA;NA;NA;17;"max";"Lhomme, P. 2014. Osmia aurulenta. The IUCN Red List of Threatened Species 2014: e.T19199876A21154911";"Abeilles";447576
"bfNestCel50";"Osmia caerulescens (Linnaeus, 1758)";"53175";"Osmia caerulescens";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Osmia";NA;NA;NA;18;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
"bfNestCel51";"Osmia cerinthidis Morawitz, 1875";"240052";"Osmia cerinthidis";"Morawitz, 1875";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Osmia";NA;NA;NA;9;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
"bfNestCel52";"Osmia cornuta (Latreille, 1805)";"53176";"Osmia cornuta";"(Latreille, 1805)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Osmia";NA;NA;NA;10;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
"bfNestCel53";"Osmia niveata (Fabricius, 1804)";"240072";"Osmia niveata";"(Fabricius, 1804)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Osmia";NA;NA;NA;6;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel54";"Osmia pilicornis Smith, 1846";"240075";"Osmia pilicornis";"Smith, 1846";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Osmia";NA;NA;NA;3;"max";"Müller, A. 2018. Palaearctic Osmiine Bees. ETH Zürich. http://blogs.ethz.ch/osmiini";"Abeilles";444698
