LB_NOM;VALID_NAME;PHYLUM;CLASS;ORDER;FAMILY;SUBFAMILY;TRIBE;GENUS;SUBGENUS;CD_NOM
Andrena impunctata;Andrena impunctata Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Graecandrena;239371
Andrena intermedia;Andrena intermedia Thomson, 1870;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Taeniandrena;239372
Andrena labialis;Andrena labialis (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Holandrena;239374
Andrena labiata;Andrena labiata Fabricius, 1781;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Poecilandrena;239375
Andrena lagopus;Andrena lagopus Latreille, 1809;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Biareolina;239376
Andrena lapponica;Andrena lapponica Zetterstedt, 1838;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239377
Andrena lathyri;Andrena lathyri Alfken, 1899;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Taeniandrena;239378
Andrena lavandulae;Andrena lavandulae Pérez, 1902;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;997621
Andrena lepida;Andrena lepida Schenck, 1861;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;239379
Andrena leptopyga;Andrena leptopyga Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Leucandrena;239380
Andrena leucolippa;Andrena leucolippa Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239381
Andrena limata;Andrena limata Smith, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239382
Andrena limbata;Andrena limbata Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Limbandrena;239383
Andrena livens;Andrena livens Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239384
Andrena marginata;Andrena marginata Fabricius, 1777;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239385
Andrena miegiella;Andrena miegiella Dours, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Brachyandrena;239386
Andrena minutula;Andrena minutula (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239387
Andrena minutuloides;Andrena minutuloides Perkins, 1914;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239388
Andrena mitis;Andrena mitis Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239389
Andrena montana;Andrena montana Warncke, 1973;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;317589
Andrena morio;Andrena morio Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239390
Andrena mucida;Andrena mucida Kriechbaumer, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Didonia;239391
Andrena nana;Andrena nana (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239392
Andrena nanula;Andrena nanula Nylander, 1848;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239393
Andrena nigriceps;Andrena nigriceps (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena;239394
Andrena nigroaenea;Andrena nigroaenea (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;815151
Andrena nigroolivacea;Andrena nigroolivacea Dours, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239396
Andrena nigropilosa;Andrena nigropilosa Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Truncandrena;1031281
Andrena nigrospina;Andrena nigrospina Thomson, 1872;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena;239397
Andrena nitida;Andrena nitida (Muller, 1776);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239399
Andrena nitidiuscula;Andrena nitidiuscula Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena;239401
Andrena nitidula;Andrena nitidula Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Distandrena;239400
Andrena niveata;Andrena niveata Friese, 1887;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239402
Andrena nuptialis;Andrena nuptialis Perez, 1902;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena;239404
Andrena nycthemera;Andrena nycthemera Imhoff, 1868;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239405
Andrena orbitalis;Andrena orbitalis Morawitz, 1871;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Rufandrena;239406
Andrena ovata;Andrena ovata Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Taeniandrena;1012379
Andrena ovatula;Andrena ovatula (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Taeniandrena;239407
Andrena oviventris;Andrena oviventris Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Ovandrena;317607
