CD_NOM;LB_NOM;NOM_COMPLET;NOM_VALIDE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;GENRE;SOUS_GENRE
239325;Andrena chrysosceles;Andrena chrysosceles (Kirby, 1802);Andrena chrysosceles (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena
53077;Andrena cineraria;Andrena cineraria (Linnaeus, 1758);Andrena cineraria (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239326;Andrena cinerea;Andrena cinerea Brulle, 1832;Andrena cinerea Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena
1000732;Andrena cingulata;Andrena cingulata sensu Lepeletier, 1841 non Fabricius, 1775;Andrena labiata Fabricius, 1781;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Poecilandrena
407134;Andrena circinata;Andrena circinata Dours, 1873;Andrena orbitalis Morawitz, 1871;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Rufandrena
239327;Andrena clarkella;Andrena clarkella (Kirby, 1802);Andrena clarkella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena
407119;Andrena clypeata;Andrena clypeata Brulle, 1832 non Illiger, 1806;Andrena brumanensis Friese, 1899;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cryptandrena
239328;Andrena clypella;Andrena clypella Strand, 1921;Andrena clypella Strand, 1921;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena
939725;Andrena clypella hasitata;Andrena clypella hasitata Warncke, 1973;Andrena clypella hasitata Warncke, 1973;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
997625;Andrena coarctata;Andrena coarctata Perez, 1902;Andrena granulosa Perez, 1902;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena
239329;Andrena coitana;Andrena coitana (Kirby, 1802);Andrena coitana (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Oreomelissa
939726;Andrena coitana coitana;Andrena coitana coitana (Kirby, 1802);Andrena coitana coitana (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239330;Andrena colletiformis;Andrena colletiformis Morawitz, 1873;Andrena colletiformis Morawitz, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239331;Andrena combinata;Andrena combinata (Christ, 1791);Andrena combinata (Christ, 1791);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena
939727;Andrena combinata combinata;Andrena combinata combinata (Christ, 1791);Andrena combinata combinata (Christ, 1791);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
1000142;Andrena compressa;Andrena compressa Walckenaer, 1802;Halictus compressus (Walckenaer, 1802);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis
939582;Andrena confinis;Andrena confinis Stockhert, 1930;Andrena confinis Stockhert, 1930;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena
239332;Andrena congruens;Andrena congruens Schmiedeknecht, 1883;Andrena congruens Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
998055;Andrena connexa;Andrena connexa Perez, 1895;Andrena dorsata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena
407115;Andrena consobrina;Andrena consobrina Eversmann, 1852;Andrena bimaculata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena
1000426;Andrena cornuta;Andrena cornuta Fabricius, 1787;Lithurgus cornutus (Fabricius, 1787);Arthropoda;Insecta;Hymenoptera;Megachilidae;Lithurginae;;Lithurgus;
